Obj;2279.710237624216;Completo;2354.710237624216;gap;0.09355560250833482
vehicle;node;node;ebattery;time;speed;demand;dist;service time;ready;due;b;beta;resbatt;arr time;w;r_0
0;D0;C21;0.004309316620000038;10.80807621990764;100.0;11.0;18.027756377319946;10.0;23.0;33.0;0;0;0.6063115171945221;33.0;0.0;0.6839988273726186
0;C21;C22;0.003721941986920538;17.0;35.294051022690304;18.0;10.0;10.0;50.0;60.0;0;0;0.5690920973253167;60.0;0.0;
0;C22;C4;0.003584193790074186;37.0;22.930780317164807;19.0;14.142135623730951;10.0;107.0;117.0;0;0;0.5184039426443533;107.0;0.0;
0;C4;C23;0.004232268460000035;8.992863000000007;100.0;29.0;15.0;10.0;119.0;129.0;0;0;0.45491991574435275;125.992863;0.0;
0;C23;C25;0.004170390509062857;11.007137000000029;98.25911318733858;6.0;18.027756377319946;10.0;137.0;147.0;0;0;0.37973713164868017;147.00000000000003;0.0;
0;C25;C24;0.003639931443245273;22.99999999999998;39.105835647837935;3.0;15.0;10.0;180.0;190.0;0;0;0.3251381600000011;180.0;0.0;
0;C24;D0;0.004171272000000038;17.985726000000014;100.0;0.0;30.0;0.0;0.0;230.0;0;0;0;207.985726;0
1;D1;C16;0.004294870090000041;17.47898384997805;100.0;19.0;29.154759474226502;10.0;71.0;81.0;0;0;0.5462651229839537;81.0;0.0;0.6714810274309544
1;C16;C2;0.004264371860000032;15.095633636535288;100.0;7.0;25.179356624028344;10.0;97.0;107.0;0;0;0.43889098314354175;106.09563363653528;0.0;
1;C2;C15;0.004241330713636429;7.904366363464717;98.65924681720563;8.0;13.0;10.0;114.0;124.0;0;0;0.38375368386626824;124.0;0.0;
1;C15;C14;0.0037227162622920362;23.0;41.21584244496167;20.0;15.811388300841896;10.0;157.0;167.0;0;0;0.32489237150931;157.0;0.0;
1;C14;C13;0.0036890294774991825;31.0;41.03600881108527;23.0;21.213203435596427;10.0;198.0;208.0;0;0;0.2466362387232079;198.0;0.0;
1;C13;D3;0.004171272000000045;6.702884326780894;100.0;0.0;11.180339887498949;0.0;0.0;230.0;0;0;0;214.7028843267809;0
2;D2;C3;0.004232268460000035;13.405768653561788;100.0;13.0;22.360679774997898;10.0;28.0;38.0;0;0;0.4245060145301749;38.00000000000001;0.0;0.5191424142860592
2;C3;C9;0.003578415804510196;31.999999999999993;28.108395782052764;16.0;15.0;10.0;70.0;80.0;0;0;0.370829777462522;80.0;35.45898033750315;
2;C9;C20;0.0034813409300000348;33.54101966249685;20.0;9.0;11.180339887498949;10.0;159.0;169.0;0;0;0.3319072026008599;159.0;0.0;
2;C20;D1;0.004171272000000038;18.95861984390319;100.0;0.0;31.622776601683793;0.0;0.0;230.0;0;0;0;187.9586198439032;0
3;D3;C8;0.00429647526000004;15.736796514529452;100.0;9.0;26.248809496813376;10.0;27.0;37.0;0;0;0.40811773877753643;36.137127836424774;0.0;0.5208950993850492
3;C8;C19;0.004282028730000033;10.623595890520827;100.0;17.0;17.72004514666935;10.0;48.0;58.0;0;0;0.3322399963626006;56.7607237269456;0.0;
3;C19;C11;0.004254740840000021;4.239276273054399;100.0;12.0;7.0710678118654755;10.0;61.0;71.0;0;0;0.30215443536104686;71.0;0.0;
3;C11;C7;0.003820867125997038;17.0;52.91029425092325;5.0;15.0;10.0;88.0;98.0;0;0;0.24484142847109147;98.0;6.5727511548698985;
3;C7;S5;0.003523075350000038;38.18376618407357;20.0;0;12.727922061357855;0;0.0;230.0;8.419739372517423E-4;0.20207374494041816;0.8;152.75651733894347;0
3;S5;C10;0.003523075350000038;4.242640687119286;20.0;16.0;1.4142135623730951;10.0;157.0;167.0;0;0;0.3970913639991857;157.0;0.0
3;C10;C12;0.00420177023000004;19.1941396797377;100.0;19.0;32.01562118716424;10.0;177.0;187.0;0;0;0.2625690800000005;186.1941396797377;0.0;
3;C12;D4;0.004171272000000045;8.992863000000007;100.0;0.0;15.0;0.0;0.0;230.0;0;0;0;205.1870026797377;0
4;D4;C1;0.004171272000000045;9.131680557349158;100.0;10.0;15.231546211727817;10.0;36.0;46.0;0;0;0.6214694598169376;46.0;0.0;0.6850043820466245
4;C1;C17;0.004178092329010986;26.271920460449763;92.93538227347909;2.0;40.70626487409524;10.0;73.0;83.0;0;0;0.4513949268037908;82.27192046044976;0.0;
4;C17;C6;0.004185888639635579;12.728079539550237;94.18546752600055;3.0;20.0;10.0;95.0;105.0;0;0;0.36767715401107937;105.0;0.0;
4;C6;C18;0.0036721666442360995;18.420104292945695;36.386186526776925;12.0;11.180339887498949;10.0;127.0;137.0;0;0;0.32662108280498353;133.4201042929457;0.0;
4;C18;C5;0.00363388841197064;19.579895707054316;34.22641401096333;26.0;11.180339887498949;10.0;163.0;173.0;0;0;0.2859929752459079;163.0;0.0;
4;C5;D2;0.004171272000000038;12.359508008569644;100.0;0.0;20.615528128088304;0.0;0.0;230.0;0;0;0;185.35950800856966;0
